美食,酒店,购物,生活服务,丽人,旅游景点,休闲娱乐,运动健身,教育培训,文化传媒,医疗,汽车服务,交通设施,金融,房地产,公司企业,政府机构,出入口,自然地物,道路,门址,绿地,行政区划,地铁线路,公交线路,行政地标,商圈,铁路,其他线要素,水系,纬度,经度,急救中心
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,30.325697742281726,113.99687251557998,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.00723486160108,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.01759720762217,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.02795955364326,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.03832189966434,0
0,0,1,0,0,0,0,2,2,0,0,0,6,0,12,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,30.325697742281726,114.04868424568544,0
13,0,13,3,3,0,3,1,6,0,1,0,6,1,2,10,0,3,0,2,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.05904659170653,0
13,1,29,8,4,1,2,0,5,0,5,1,5,0,5,12,0,4,0,0,0,0,0,0,0,1,0,0,0,0,30.325697742281726,114.06940893772762,0
7,1,5,8,2,0,0,0,4,0,3,0,4,3,11,7,10,14,0,1,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.0797712837487,0
59,18,158,34,21,0,15,4,13,4,13,21,36,0,98,70,18,38,0,8,0,0,1,0,0,4,0,0,0,0,30.325697742281726,114.09013362976981,0
0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,8,3,3,0,3,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.10049597579089,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.11085832181197,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.12122066783307,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.13158301385417,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.14194535987525,0
0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,2,0,1,1,0,0,0,0,0,4,0,0,0,0,30.325697742281726,114.15230770589633,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30.325697742281726,114.16267005191743,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,30.325697742281726,114.17303239793853,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.325697742281726,114.18339474395961,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,30.325697742281726,114.1937570899807,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,30.325697742281726,114.2041194360018,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.325697742281726,114.21448178202289,0
